코드,아이템 이름,등급 색상
1366,키드부우(약해진) 소환피리,cyan
1367,콜든 프리저[조각],standard
1368,개발용 헬멧[+3],green
1369,개발용 헬멧[+4],green
1370,초사이언4-손오공[조각],standard
1371,각성책:카카로트,standard
1372,초사이언 로제-라데츠[조각],standard
1373,베이비의 반지,purple
1374,베이비의 신발,purple
1375,베이비의 보석,purple
1376,블루 하이야드래곤 소환장치,standard
1377,알 수 없는 캐릭터[조각],standard
1379,사오공[조각],standard
1381,그림자 물약,standard
1382,자연의 물약,standard
1383,진화의 증표 Lv1,purple
1384,진화의 증표 Lv2,purple
1385,진화의 증표 Lv3,purple
1386,진화의 증표 Lv4,purple
1387,진화의 증표 Lv5,purple
1388,진화의 증표 Lv6,purple
1389,진화의 증표 Lv7,purple
1390,진화의 증표 Lv8,purple
1391,진화의 증표 Lv9,purple
1392,진화의 증표 Lv10,purple
1393,진화의 증표 Lv11,purple
1394,진화의 증표 Lv12,purple
1395,진화의 증표 Lv13,purple
1396,진화의 증표 Lv14,purple
1397,진화의 증표 Lv15,purple
1398,진화의 증표 Lv16,purple
1399,진화의 증표 Lv17,purple
1400,진화의 증표 Lv18,purple
1401,진화의 증표 Lv19,purple
1402,진화의 증표 Lv20,purple
1403,진화의 증표 Lv21,purple
1404,진화의 증표 Lv22,purple
1427,영웅의 증표 Lv1,purple
1428,영웅의 증표 Lv2,purple
1429,영웅의 증표 Lv3,purple
1430,영웅의 증표 Lv4,purple
1431,영웅의 증표 Lv5,purple
1432,영웅의 증표 Lv6,purple
1433,영웅의 증표 Lv7,purple
1434,영웅의 증표 Lv8,purple
1435,영웅의 증표 Lv9,purple
1436,영웅의 증표 Lv10,purple
1437,영웅의 증표 Lv11,purple
1438,영웅의 증표 Lv12,purple
1439,영웅의 증표 Lv13,purple
1440,영웅의 증표 Lv14,purple
1441,영웅의 증표 Lv15,purple
1442,영웅의 증표 Lv16,purple
1443,영웅의 증표 Lv17,purple
1444,영웅의 증표 Lv18,purple
1445,영웅의 증표 Lv19,purple
1446,영웅의 증표 Lv20,purple
1447,영웅의 증표 Lv21,purple
1448,영웅의 증표 Lv22,purple
1449,힐데건 성충 소환장치,cyan
1455,초사이언4-베지터[조각],standard
1456,풀파워 셀[조각],standard
1458,베이비의 반지 Lv2,purple
1459,베이비의 보석 Lv2,purple
1460,베이비의 신발 Lv2,purple
1463,브로리의 최종힘[고유],rainbow
1465,베지트의 체력장갑,cyan
1466,베지트의 전투장갑,cyan
1467,베지트의 기력장갑,cyan
1468,베지트의 체력반지,cyan
1469,베지트의 전투반지,cyan
1470,베지트의 기력반지,cyan
1471,베지트의 만능반지 [유물],rainbow
1472,베지트의 신발 [영웅],rainbow
1473,베지트의 도복 [영웅],rainbow
1474,베지트의 만능장갑 [영웅],rainbow
1476,단풍잎[Event],standard
1482,손오반의 힘[고유],rainbow
1484,영웅의 신전,rainbow
1491,자연의 물약lv2,standard
1492,명예의 주화[event],standard
1493,타레스의 반지 [전설],red
1494,타레스의 보물반지 [전설],red
584,모험의 물약,standard
708,기계 물약,standard
918,평화의 물약,standard
1000,학습의 물약,standard
1457,헬타임캡슐 우주선Lv2,cyan
1461,메탈쿠우라(약해진) 소환피리,cyan
1485,영웅의 신전 조합서,rainbow
735,신 낭아풍풍권Lv3[스킬북],standard
1043,각성책:굴드,standard
1363,약탈꾼의 물약,standard
547,바바의 1관문[칭호],standard
1033,나메크 드래곤볼[7성구],standard
1032,나메크 드래곤볼[6성구],standard
1031,나메크 드래곤볼[5성구],standard
1030,나메크 드래곤볼[4성구],standard
1029,나메크 드래곤볼[3성구],standard
1028,나메크 드래곤볼[2성구],standard
1027,나메크 드래곤볼[1성구],standard
120,야무치의 이빨,standard
855,블루 스톤,standard
854,그린 스톤,standard
853,레드 스톤,standard
1092,용권[스킬북],standard
1378,오지터[조각],standard
1125,변화의 물약,standard
1025,고급 인조인간의 장갑[세트],standard
1023,고급 인조인간의 갑옷[세트],standard
1024,고급 인조인간의 바지[세트],standard
723,셀의 꼬리,standard
934,쿠우라의 장갑[세트],standard
933,쿠우라의 각반[세트],standard
635,오자루의 꼬리,standard
276,사과파이,standard
724,셀 완전체 격퇴[칭호],standard
533,드래곤볼[1성구],standard
534,드래곤볼[2성구],standard
535,드래곤볼[3성구],standard
536,드래곤볼[4성구],standard
537,드래곤볼[5성구],standard
538,드래곤볼[6성구],standard
539,드래곤볼[7성구],standard
834,오룡의 팬티 컬렉션 조합서,standard
830,인조인간 18호의 팬티,standard
832,런치의 팬티,standard
831,치치의 팬티,standard
542,드래곤볼 탐지기,standard
654,프리저의 꼬리,standard
645,리쿰의 장갑,standard
652,기뉴 격퇴[칭호],standard
641,굴드의 신발,standard
650,지스의 눈물,standard
1042,각성책:지스,standard
836,마인부우의 사탕,standard
548,바바의 2관문[칭호],standard
549,바바의 3관문[칭호],standard
550,바바의 4관문[칭호],standard
551,바바의 5관문[칭호],standard
1332,방심의 라데츠의 갑옷,standard
1166,어둠의 물약Lv2,standard
899,키드부우의 손톱,standard
1452,전신 트레이닝MAX[스킬북],standard
891,셀 스톤,standard
1193,개발용 헬멧[+1],green
279,로봇오룡의 철팔대,standard
496,피콜로 장갑,standard
1136,각성책:라데츠,standard
905,키드부우의 장갑[세트],standard
904,키드부우의 갑옷[세트],standard
941,메탈쿠우라의 가죽,standard
942,메탈쿠우라의 손톱,standard
897,이블부우 스톤,standard
565,부서진 스타우트 조각A,standard
566,부서진 스카우트 조각B,standard
567,부서진 스카우트 조각C,standard






